ID,Start time,Completion time,Email,Name,I have read the Participant Information Sheet included with this questionnaire.,I am over the age of 18.,"I understand that no personal identifying data is collected in this study, therefore I know that once I have submitted my answers I am unable to withdraw my data from the study.","I agree that my data can be anonymised, stored and used in future research in line with Brunel University’s data retention policies.",I agree to take part in this study.,"Which country are you studying in or studied from? (If it is 2 or more countries, mention the latest one)",Which level of education are you currently studying in or studied till?,Which credit awarding framework does your education system or institution practice?  ,Were you aware that academic credit awarding systems had credit transferability and conversion issues?  ,Which of the following issues do you think is a bigger hurdle for a student in terms of their academic credentials? ,"With respect to student exchange programs or credit transferability, students often have to incur additional costs or lose the time they spent in their previous study course. Which one among the f...",How useful do you think implementing technology would be in the education sector for the elimination of paper-based transcripts & certificates? ,"How useful do you think decentralising the credit & credential system be to the education community (students, universities, employers)? ","On a scale of 1 to 5, select the level of collaboration you think is essential for countries or educational frameworks in working together to form a unified or standardized credit system on a glob...","Mention with keywords or a short answer, what are your suggestions in addressing the problem of credentials & credits on a global stance?","Mention with keywords, what are your suggestions for the adoption of blockchain in education sector to succeed?"
95,6-28-22 19:31:57,6-28-22 19:33:34,anonymous,,Yes,Yes,Yes,Agree,Agree,United States of America ,Master's,ACS (American Credit System) - American ,No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,,
96,6-28-22 21:18:57,6-28-22 21:20:56,anonymous,,Yes,Yes,Yes,Agree,Agree,The United Kingdom ,Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Somewhat useful,5,,
97,6-28-22 21:24:35,6-28-22 21:28:56,anonymous,,Yes,Yes,Yes,Agree,Agree,UK,PhD,Don't know,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Somewhat useful,Somewhat useful,5,,
98,6-29-22 3:13:23,6-29-22 3:16:48,anonymous,,Yes,Yes,Yes,Agree,Agree,Hong Kong,PhD,Asian credit systems (countries in Asia),Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Somewhat useful,Neutral,3,,
99,6-29-22 10:37:28,6-29-22 10:42:50,anonymous,,Yes,Yes,Yes,Agree,Agree,INDIA,Bachelor's,Asian credit systems (countries in Asia),No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Very useful,5,,
100,6-29-22 12:42:08,6-29-22 12:45:27,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Does not follow any credit awarding framework,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Very useful,Somewhat useful,5,,
101,6-29-22 14:15:43,6-29-22 14:23:41,anonymous,,Yes,Yes,Yes,Agree,Agree,India,"Below Bachelor's (12th, diploma, GCSE, A Level, etc)",Asian credit systems (countries in Asia),No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Very useful,Neutral,5,,
102,6-29-22 15:21:24,6-29-22 15:32:26,anonymous,,Yes,Yes,Yes,Agree,Agree,India,"Below Bachelor's (12th, diploma, GCSE, A Level, etc)",Does not follow any credit awarding framework,No,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Very useful,1,.,.
103,6-29-22 15:56:51,6-29-22 16:05:32,anonymous,,Yes,Yes,Yes,Agree,Agree,Hong Kong,PhD,ACS (American Credit System) - American ,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Somewhat useful,Somewhat useful,5,,
104,6-29-22 16:07:23,6-29-22 16:09:27,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Neutral,Somewhat useful,5,,
105,6-29-22 16:39:45,6-29-22 16:43:05,anonymous,,Yes,Yes,Yes,Agree,Agree,United Kingdom ,Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Somewhat useful,Somewhat useful,4,,
106,6-29-22 18:01:19,6-29-22 18:46:53,anonymous,,Yes,Yes,Yes,Agree,Agree,INDIA,Bachelor's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Neutral,Somewhat useful,4,According to my research of credentials and credits can be addressed by creating the awareness of the existing system and implementation of alternative solutions will help addressing the issues on a global scale ,"Encryption, analytics,accessibility "
107,6-29-22 20:58:00,6-29-22 20:59:49,anonymous,,Yes,Yes,Yes,Agree,Agree,"India, United Kingdom ",Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,No,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Very useful,5,.,
108,6-30-22 5:57:28,6-30-22 5:59:59,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Very useful,4,,
109,6-30-22 10:02:44,6-30-22 10:04:44,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Very useful,5,,
110,6-30-22 11:57:10,6-30-22 12:00:03,anonymous,,Yes,Yes,Yes,Agree,Agree,UK,Bachelor's,CATS (Credit Accumulation and Transfer Scheme) - UK ,No,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Neutral,5,N/A,N/A
111,6-30-22 12:51:35,6-30-22 12:54:27,anonymous,,Yes,Yes,Yes,Agree,Agree,United Kingdom ,Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Somewhat useful,Somewhat useful,5,,
112,6-30-22 13:16:20,6-30-22 13:18:01,anonymous,,Yes,Yes,Yes,Agree,Agree,United Kingdom,Master's,Don't know,Yes,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Somewhat useful,Neutral,4,,
113,6-30-22 22:22:47,6-30-22 22:24:37,anonymous,,Yes,Yes,Yes,Agree,Agree,Australia,Master's,ACS (American Credit System) - American ,Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,4,,
114,7-1-22 13:33:27,7-1-22 13:35:30,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Loss of paper-based transcripts & certificates,Additional costs ,Somewhat useful,Very useful,4,,
115,7-1-22 14:42:28,7-1-22 14:46:03,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Master's,Don't know,Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Somewhat useful,Somewhat useful,4,,
116,7-2-22 20:46:35,7-2-22 20:52:53,anonymous,,Yes,Yes,Yes,Disagree,Agree,"India,Karnataka ",Master's,Don't know,Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,4,,
117,8-8-22 20:01:44,8-8-22 20:05:50,anonymous,,Yes,Yes,Yes,Agree,Agree,United kingdom,Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Very useful,5,Universal credit system or transferability,Security should be important
118,8-13-22 0:59:06,8-13-22 1:05:44,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,PhD,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,None ,None
